Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/28/2025,08/29/2025,STATEMENT CREDIT,Fees & Adjustments,Adjustment,91.72,
07/24/2025,07/25/2025,AMAZON MKTPL*KU5TN4KN3,Shopping,Sale,-132.22,
05/19/2025,05/20/2025,AMAZON MKTPLACE PMTS,Shopping,Return,33.05,
05/19/2025,05/20/2025,AMAZON MKTPLACE PMTS,Shopping,Return,16.52,
05/15/2025,05/15/2025,Payment Thank You-Mobile,,Payment,64.99,
05/12/2025,05/13/2025,AMAZON MKTPL*NI50V6DK0,Shopping,Sale,-16.52,
05/12/2025,05/13/2025,AMAZON MKTPL*NI1785QC0,Shopping,Sale,-33.05,
05/12/2025,05/13/2025,AMAZON MKTPL*NW26G2QW2,Shopping,Sale,-33.05,
05/07/2025,05/07/2025,Amazon.com,Shopping,Return,39.66,
05/05/2025,05/06/2025,AMAZON MKTPL*NB9IO0VT1,Shopping,Sale,-22.03,
05/05/2025,05/05/2025,Payment Thank You-Mobile,,Payment,49.58,
05/02/2025,05/04/2025,AMAZON MKTPL*N22RM1W41,Shopping,Sale,-49.58,
04/30/2025,04/30/2025,Payment Thank You-Mobile,,Payment,90.36,
04/25/2025,04/27/2025,AMAZON MKTPL*NP6VW7VW3,Shopping,Sale,-38.50,
04/24/2025,04/25/2025,AMAZON MKTPL*FV6YT8HG3,Shopping,Sale,-27.48,
04/21/2025,04/22/2025,Amazon.com*LN1Z091R3,Shopping,Sale,-16.41,
04/21/2025,04/22/2025,Amazon.com*A58FK7J53,Shopping,Sale,-7.97,
04/21/2025,04/21/2025,Payment Thank You-Mobile,,Payment,61.69,
04/17/2025,04/18/2025,Amazon.com*QF6RV1JO3,Shopping,Sale,-39.66,
04/17/2025,04/18/2025,AMAZON MKTPL*YC4XA1V63,Shopping,Sale,-22.03,
02/25/2025,02/25/2025,Payment Thank You-Mobile,,Payment,127.22,
02/24/2025,02/24/2025,AMAZON MKTPL*F83WP3IP3,Shopping,Sale,-105.99,
02/12/2025,02/12/2025,AMAZON MKTPL*A95HC5HV3,Shopping,Sale,-21.23,
01/23/2025,01/23/2025,Payment Thank You-Mobile,,Payment,132.22,
01/21/2025,01/21/2025,AMAZON MKTPL*Z578T7Q71,Shopping,Sale,-132.22,
01/15/2025,01/15/2025,Payment Thank You-Mobile,,Payment,165.24,
01/08/2025,01/09/2025,AMAZON MKTPL*Z50DI13H2,Shopping,Sale,-165.24,
